ₙ	ₙ	n	U+2099 (LATIN SUBSCRIPT SMALL LETTER N) preserved SUBSCRIPT
ₚ	ₚ	p	U+209A (LATIN SUBSCRIPT SMALL LETTER P) preserved SUBSCRIPT
ₛ	ₛ	s	U+209B (LATIN SUBSCRIPT SMALL LETTER S) preserved SUBSCRIPT
ₜ	ₜ	t	U+209C (LATIN SUBSCRIPT SMALL LETTER T) preserved SUBSCRIPT
℀	℀	a/c	U+2100 (ACCOUNT OF) preserved FRACTION
℁	℁	a/s	U+2101 (ADDRESSED TO THE SUBJECT) preserved FRACTION
℅	℅	c/o	U+2105 (CARE OF) preserved FRACTION
℆	℆	c/u	U+2106 (CADA UNA) preserved FRACTION
℠	℠	SM	U+2120 (SERVICE MARK) preserved SUPERSCRIPT
℡	℡	TEL	U+2121 (TELEPHONE SIGN) preserved SUPERSCRIPT
™	™	TM	U+2122 (TRADE MARK SIGN) preserved SUPERSCRIPT
⅐	⅐	1⁄7	U+2150 (VULGAR FRACTION ONE SEVENTH) preserved FRACTION
⅑	⅑	1⁄9	U+2151 (VULGAR FRACTION ONE NINTH) preserved FRACTION
⅒	⅒	1⁄10	U+2152 (VULGAR FRACTION ONE TENTH) preserved FRACTION
⅓	⅓	1⁄3	U+2153 (VULGAR FRACTION ONE THIRD) preserved FRACTION
⅔	⅔	2⁄3	U+2154 (VULGAR FRACTION TWO THIRDS) preserved FRACTION
⅕	⅕	1⁄5	U+2155 (VULGAR FRACTION ONE FIFTH) preserved FRACTION
⅖	⅖	2⁄5	U+2156 (VULGAR FRACTION TWO FIFTHS) preserved FRACTION
⅗	⅗	3⁄5	U+2157 (VULGAR FRACTION THREE FIFTHS) preserved FRACTION
⅘	⅘	4⁄5	U+2158 (VULGAR FRACTION FOUR FIFTHS) preserved FRACTION
⅙	⅙	1⁄6	U+2159 (VULGAR FRACTION ONE SIXTH) preserved FRACTION
⅚	⅚	5⁄6	U+215A (VULGAR FRACTION FIVE SIXTHS) preserved FRACTION
⅛	⅛	1⁄8	U+215B (VULGAR FRACTION ONE EIGHTH) preserved FRACTION
⅜	⅜	3⁄8	U+215C (VULGAR FRACTION THREE EIGHTHS) preserved FRACTION
⅝	⅝	5⁄8	U+215D (VULGAR FRACTION FIVE EIGHTHS) preserved FRACTION
⅞	⅞	7⁄8	U+215E (VULGAR FRACTION SEVEN EIGHTHS) preserved FRACTION
⅟	⅟	1⁄	U+215F (FRACTION NUMERATOR ONE) preserved FRACTION
↉	↉	0⁄3	U+2189 (VULGAR FRACTION ZERO THIRDS) preserved FRACTION
ⱼ	ⱼ	j	U+2C7C (LATIN SUBSCRIPT SMALL LETTER J) preserved SUBSCRIPT
ⱽ	ⱽ	V	U+2C7D (MODIFIER LETTER CAPITAL V) preserved SUPERSCRIPT
ⵯ	ⵯ	ⵡ	U+2D6F (TIFINAGH MODIFIER LETTER LABIALIZATION MARK) preserved SUPERSCRIPT
⺟	⺟	母	U+2E9F (CJK RADICAL MOTHER) preserved RADICAL
⻳	⻳	龟	U+2EF3 (CJK RADICAL C-SIMPLIFIED TURTLE) preserved RADICAL
゛	゛	 ゙	U+309B (KATAKANA-HIRAGANA VOICED SOUND MARK) preserved DIACRITIC
゜	゜	 ゚	U+309C (KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK) preserved DIACRITIC
㆒	㆒	一	U+3192 (IDEOGRAPHIC ANNOTATION ONE MARK) preserved SUPERSCRIPT
㆓	㆓	二	U+3193 (IDEOGRAPHIC ANNOTATION TWO MARK) preserved SUPERSCRIPT
㆔	㆔	三	U+3194 (IDEOGRAPHIC ANNOTATION THREE MARK) preserved SUPERSCRIPT
㆕	㆕	四	U+3195 (IDEOGRAPHIC ANNOTATION FOUR MARK) preserved SUPERSCRIPT
㆖	㆖	上	U+3196 (IDEOGRAPHIC ANNOTATION TOP MARK) preserved SUPERSCRIPT
㆗	㆗	中	U+3197 (IDEOGRAPHIC ANNOTATION MIDDLE MARK) preserved SUPERSCRIPT
㆘	㆘	下	U+3198 (IDEOGRAPHIC ANNOTATION BOTTOM MARK) preserved SUPERSCRIPT
㆙	㆙	甲	U+3199 (IDEOGRAPHIC ANNOTATION FIRST MARK) preserved SUPERSCRIPT
㆚	㆚	乙	U+319A (IDEOGRAPHIC ANNOTATION SECOND MARK) preserved SUPERSCRIPT
㆛	㆛	丙	U+319B (IDEOGRAPHIC ANNOTATION THIRD MARK) preserved SUPERSCRIPT
㆜	㆜	丁	U+319C (IDEOGRAPHIC ANNOTATION FOURTH MARK) preserved SUPERSCRIPT
㆝	㆝	天	U+319D (IDEOGRAPHIC ANNOTATION HEAVEN MARK) preserved SUPERSCRIPT
㆞	㆞	地	U+319E (IDEOGRAPHIC ANNOTATION EARTH MARK) preserved SUPERSCRIPT
㆟	㆟	人	U+319F (IDEOGRAPHIC ANNOTATION MAN MARK) preserved SUPERSCRIPT
ꚜ	ꚜ	ъ	U+A69C (MODIFIER LETTER CYRILLIC HARD SIGN) preserved SUPERSCRIPT
ꚝ	ꚝ	ь	U+A69D (MODIFIER LETTER CYRILLIC SOFT SIGN) preserved SUPERSCRIPT
ꝰ	ꝰ	ꝯ	U+A770 (MODIFIER LETTER US) preserved SUPERSCRIPT
ꟸ	ꟸ	Ħ	U+A7F8 (MODIFIER LETTER CAPITAL H WITH STROKE) preserved SUPERSCRIPT
ꟹ	ꟹ	œ	U+A7F9 (MODIFIER LETTER SMALL LIGATURE OE) preserved SUPERSCRIPT
ꭜ	ꭜ	ꜧ	U+AB5C (MODIFIER LETTER SMALL HENG) preserved SUPERSCRIPT
ꭝ	ꭝ	ꬷ	U+AB5D (MODIFIER LETTER SMALL L WITH INVERTED LAZY S) preserved SUPERSCRIPT
