MapFromString	MapToString	Comment # File ArabicPresentationFormMappingAnnotated.tsv, automatically generated by script wildebeest_build.py (Ulf Hermjakob, USC/ISI) based on UnicodeData on Sep 26, 2020, 22:36:13
ﰔ	ثي	U+FC14 (ARABIC LIGATURE THEH WITH YEH ISOLATED FORM) -> U+062B U+064A
ﰕ	جح	U+FC15 (ARABIC LIGATURE JEEM WITH HAH ISOLATED FORM) -> U+062C U+062D
ﰖ	جم	U+FC16 (ARABIC LIGATURE JEEM WITH MEEM ISOLATED FORM) -> U+062C U+0645
ﰗ	حج	U+FC17 (ARABIC LIGATURE HAH WITH JEEM ISOLATED FORM) -> U+062D U+062C
ﰘ	حم	U+FC18 (ARABIC LIGATURE HAH WITH MEEM ISOLATED FORM) -> U+062D U+0645
ﰙ	خج	U+FC19 (ARABIC LIGATURE KHAH WITH JEEM ISOLATED FORM) -> U+062E U+062C
ﰚ	خح	U+FC1A (ARABIC LIGATURE KHAH WITH HAH ISOLATED FORM) -> U+062E U+062D
ﰛ	خم	U+FC1B (ARABIC LIGATURE KHAH WITH MEEM ISOLATED FORM) -> U+062E U+0645
ﰜ	سج	U+FC1C (ARABIC LIGATURE SEEN WITH JEEM ISOLATED FORM) -> U+0633 U+062C
ﰝ	سح	U+FC1D (ARABIC LIGATURE SEEN WITH HAH ISOLATED FORM) -> U+0633 U+062D
ﰞ	سخ	U+FC1E (ARABIC LIGATURE SEEN WITH KHAH ISOLATED FORM) -> U+0633 U+062E
ﰟ	سم	U+FC1F (ARABIC LIGATURE SEEN WITH MEEM ISOLATED FORM) -> U+0633 U+0645
ﰠ	صح	U+FC20 (ARABIC LIGATURE SAD WITH HAH ISOLATED FORM) -> U+0635 U+062D
ﰡ	صم	U+FC21 (ARABIC LIGATURE SAD WITH MEEM ISOLATED FORM) -> U+0635 U+0645
ﰢ	ضج	U+FC22 (ARABIC LIGATURE DAD WITH JEEM ISOLATED FORM) -> U+0636 U+062C
ﰣ	ضح	U+FC23 (ARABIC LIGATURE DAD WITH HAH ISOLATED FORM) -> U+0636 U+062D
ﰤ	ضخ	U+FC24 (ARABIC LIGATURE DAD WITH KHAH ISOLATED FORM) -> U+0636 U+062E
ﰥ	ضم	U+FC25 (ARABIC LIGATURE DAD WITH MEEM ISOLATED FORM) -> U+0636 U+0645
ﰦ	طح	U+FC26 (ARABIC LIGATURE TAH WITH HAH ISOLATED FORM) -> U+0637 U+062D
ﰧ	طم	U+FC27 (ARABIC LIGATURE TAH WITH MEEM ISOLATED FORM) -> U+0637 U+0645
ﰨ	ظم	U+FC28 (ARABIC LIGATURE ZAH WITH MEEM ISOLATED FORM) -> U+0638 U+0645
ﰩ	عج	U+FC29 (ARABIC LIGATURE AIN WITH JEEM ISOLATED FORM) -> U+0639 U+062C
ﰪ	عم	U+FC2A (ARABIC LIGATURE AIN WITH MEEM ISOLATED FORM) -> U+0639 U+0645
ﰫ	غج	U+FC2B (ARABIC LIGATURE GHAIN WITH JEEM ISOLATED FORM) -> U+063A U+062C
ﰬ	غم	U+FC2C (ARABIC LIGATURE GHAIN WITH MEEM ISOLATED FORM) -> U+063A U+0645
ﰭ	فج	U+FC2D (ARABIC LIGATURE FEH WITH JEEM ISOLATED FORM) -> U+0641 U+062C
ﰮ	فح	U+FC2E (ARABIC LIGATURE FEH WITH HAH ISOLATED FORM) -> U+0641 U+062D
ﰯ	فخ	U+FC2F (ARABIC LIGATURE FEH WITH KHAH ISOLATED FORM) -> U+0641 U+062E
ﰰ	فم	U+FC30 (ARABIC LIGATURE FEH WITH MEEM ISOLATED FORM) -> U+0641 U+0645
ﰱ	فى	U+FC31 (ARABIC LIGATURE FEH WITH ALEF MAKSURA ISOLATED FORM) -> U+0641 U+0649
ﰲ	في	U+FC32 (ARABIC LIGATURE FEH WITH YEH ISOLATED FORM) -> U+0641 U+064A
ﰳ	قح	U+FC33 (ARABIC LIGATURE QAF WITH HAH ISOLATED FORM) -> U+0642 U+062D
ﰴ	قم	U+FC34 (ARABIC LIGATURE QAF WITH MEEM ISOLATED FORM) -> U+0642 U+0645
ﰵ	قى	U+FC35 (ARABIC LIGATURE QAF WITH ALEF MAKSURA ISOLATED FORM) -> U+0642 U+0649
ﰶ	قي	U+FC36 (ARABIC LIGATURE QAF WITH YEH ISOLATED FORM) -> U+0642 U+064A
ﰷ	كا	U+FC37 (ARABIC LIGATURE KAF WITH ALEF ISOLATED FORM) -> U+0643 U+0627
ﰸ	كج	U+FC38 (ARABIC LIGATURE KAF WITH JEEM ISOLATED FORM) -> U+0643 U+062C
ﰹ	كح	U+FC39 (ARABIC LIGATURE KAF WITH HAH ISOLATED FORM) -> U+0643 U+062D
ﰺ	كخ	U+FC3A (ARABIC LIGATURE KAF WITH KHAH ISOLATED FORM) -> U+0643 U+062E
ﰻ	كل	U+FC3B (ARABIC LIGATURE KAF WITH LAM ISOLATED FORM) -> U+0643 U+0644
ﰼ	كم	U+FC3C (ARABIC LIGATURE KAF WITH MEEM ISOLATED FORM) -> U+0643 U+0645
ﰽ	كى	U+FC3D (ARABIC LIGATURE KAF WITH ALEF MAKSURA ISOLATED FORM) -> U+0643 U+0649
ﰾ	كي	U+FC3E (ARABIC LIGATURE KAF WITH YEH ISOLATED FORM) -> U+0643 U+064A
ﰿ	لج	U+FC3F (ARABIC LIGATURE LAM WITH JEEM ISOLATED FORM) -> U+0644 U+062C
ﱀ	لح	U+FC40 (ARABIC LIGATURE LAM WITH HAH ISOLATED FORM) -> U+0644 U+062D
ﱁ	لخ	U+FC41 (ARABIC LIGATURE LAM WITH KHAH ISOLATED FORM) -> U+0644 U+062E
ﱂ	لم	U+FC42 (ARABIC LIGATURE LAM WITH MEEM ISOLATED FORM) -> U+0644 U+0645
ﱃ	لى	U+FC43 (ARABIC LIGATURE LAM WITH ALEF MAKSURA ISOLATED FORM) -> U+0644 U+0649
ﱄ	لي	U+FC44 (ARABIC LIGATURE LAM WITH YEH ISOLATED FORM) -> U+0644 U+064A
ﱅ	مج	U+FC45 (ARABIC LIGATURE MEEM WITH JEEM ISOLATED FORM) -> U+0645 U+062C
ﱆ	مح	U+FC46 (ARABIC LIGATURE MEEM WITH HAH ISOLATED FORM) -> U+0645 U+062D
ﱇ	مخ	U+FC47 (ARABIC LIGATURE MEEM WITH KHAH ISOLATED FORM) -> U+0645 U+062E
ﱈ	مم	U+FC48 (ARABIC LIGATURE MEEM WITH MEEM ISOLATED FORM) -> U+0645 U+0645
ﱉ	مى	U+FC49 (ARABIC LIGATURE MEEM WITH ALEF MAKSURA ISOLATED FORM) -> U+0645 U+0649
ﱊ	مي	U+FC4A (ARABIC LIGATURE MEEM WITH YEH ISOLATED FORM) -> U+0645 U+064A
ﱋ	نج	U+FC4B (ARABIC LIGATURE NOON WITH JEEM ISOLATED FORM) -> U+0646 U+062C
ﱌ	نح	U+FC4C (ARABIC LIGATURE NOON WITH HAH ISOLATED FORM) -> U+0646 U+062D
ﱍ	نخ	U+FC4D (ARABIC LIGATURE NOON WITH KHAH ISOLATED FORM) -> U+0646 U+062E
ﱎ	نم	U+FC4E (ARABIC LIGATURE NOON WITH MEEM ISOLATED FORM) -> U+0646 U+0645
ﱏ	نى	U+FC4F (ARABIC LIGATURE NOON WITH ALEF MAKSURA ISOLATED FORM) -> U+0646 U+0649
ﱐ	ني	U+FC50 (ARABIC LIGATURE NOON WITH YEH ISOLATED FORM) -> U+0646 U+064A
ﱑ	هج	U+FC51 (ARABIC LIGATURE HEH WITH JEEM ISOLATED FORM) -> U+0647 U+062C
ﱒ	هم	U+FC52 (ARABIC LIGATURE HEH WITH MEEM ISOLATED FORM) -> U+0647 U+0645
ﱓ	هى	U+FC53 (ARABIC LIGATURE HEH WITH ALEF MAKSURA ISOLATED FORM) -> U+0647 U+0649
ﱔ	هي	U+FC54 (ARABIC LIGATURE HEH WITH YEH ISOLATED FORM) -> U+0647 U+064A
ﱕ	يج	U+FC55 (ARABIC LIGATURE YEH WITH JEEM ISOLATED FORM) -> U+064A U+062C
ﱖ	يح	U+FC56 (ARABIC LIGATURE YEH WITH HAH ISOLATED FORM) -> U+064A U+062D
ﱗ	يخ	U+FC57 (ARABIC LIGATURE YEH WITH KHAH ISOLATED FORM) -> U+064A U+062E
ﱘ	يم	U+FC58 (ARABIC LIGATURE YEH WITH MEEM ISOLATED FORM) -> U+064A U+0645
ﱙ	يى	U+FC59 (ARABIC LIGATURE YEH WITH ALEF MAKSURA ISOLATED FORM) -> U+064A U+0649
ﱚ	يي	U+FC5A (ARABIC LIGATURE YEH WITH YEH ISOLATED FORM) -> U+064A U+064A
ﱛ	ذٰ	U+FC5B (ARABIC LIGATURE THAL WITH SUPERSCRIPT ALEF ISOLATED FORM) -> U+0630 U+0670
ﱜ	رٰ	U+FC5C (ARABIC LIGATURE REH WITH SUPERSCRIPT ALEF ISOLATED FORM) -> U+0631 U+0670
ﱝ	ىٰ	U+FC5D (ARABIC LIGATURE ALEF MAKSURA WITH SUPERSCRIPT ALEF ISOLATED FORM) -> U+0649 U+0670
ﱞ	 ٌّ	U+FC5E (ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM) -> U+0020 U+064C U+0651
ﱟ	 ٍّ	U+FC5F (ARABIC LIGATURE SHADDA WITH KASRATAN ISOLATED FORM) -> U+0020 U+064D U+0651
